date,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,volatility_20
2023-01-01,10,11,9,100,1000,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2023-01-02,11,12,10,101,1010,100.5,100.5,100.5,100.15384615384616,100.07407407407408,99.9999998,0.07977207977208423,0.015954415954416847,0.0050000000000000044
2023-01-03,12,13,11,102,1020,101.0,101.0,101.0,100.43786982248521,100.2167352537723,99.99999985,0.22113456871291248,0.05699044650611598,0.004690882502865254
2023-01-04,13,14,12,103,1030,101.5,101.5,101.5,100.83204369594901,100.42290301275213,99.99999986666667,0.4091406831968811,0.127420493844269,0.00428809511231258
2023-01-05,14,15,13,104,1040,102.0,102.0,102.0,101.31942158887993,100.68787315995569,99.999999875,0.6315484289242477,0.22824608086026477,0.003942560591699106
2023-01-06,15,16,14,105,1050,102.5,102.5,102.5,101.88566442135993,101.00728996292193,99.99999988,0.8783744584380031,0.35827175637581243,0.003656516186057373
2023-01-07,16,17,15,106,1060,103.0,103.0,103.0,102.5186391257661,101.37712033603881,99.99999988333333,1.1415187897272858,0.5149211630461071,0.003418189638785106
2023-01-08,17,18,16,107,1070,103.5,103.5,103.5,103.20807926026363,101.79362994077668,99.99999988571429,1.4144493194869483,0.6948267943342754,0.0032169194206264655
2023-01-09,18,19,17,108,1080,104.0,104.0,104.0,103.94529783560769,102.25336105627471,99.9999998875,1.691936779332977,0.8942487913340158,0.0030446114434366915
2023-01-10,19,20,18,109,1090,104.5,104.5,104.5,104.72294432243729,102.75311208914326,99.9999998888889,1.969832233294028,1.1093654797260182,0.002895289749120473
