date,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,volatility_20
2023-01-01,-1.6752467319482305,-1.6752467319482305,-1.6752467319482305,-1.6752467319482305,-1.6752467319482303,-1.3997779508017294,-1.4518916848176022,-1.6752467319482305,-1.3696654503191303,-1.257059285614413,-5.3851648071345055,-1.6731811264749015,-1.3918129717924563,-1.4302538066101906
2023-01-02,-1.5597124745724904,-1.5597124745724904,-1.5597124745724904,-1.5597124745724904,-1.5597124745724902,-1.334671999601649,-1.3630003571757083,-1.5597124745724904,-1.3489738412215182,-1.2438813250093852,0.18569533321708986,-1.6303700931657574,-1.3826677293770382,2.01575915490474
2023-01-03,-1.4441782171967503,-1.4441782171967503,-1.4441782171967503,-1.4441782171967503,-1.44417821719675,-1.2695660484015685,-1.2741090295338144,-1.4441782171967503,-1.3107739475028513,-1.2185015490293316,0.18569533600251978,-1.5545055270167987,-1.3591454363495776,1.8027145745532591
2023-01-04,-1.3286439598210102,-1.3286439598210102,-1.3286439598210102,-1.3286439598210102,-1.3286439598210102,-1.204460097201488,-1.1852177018919203,-1.3286439598210102,-1.2577593514125236,-1.1818237958501812,0.18569533693099693,-1.4536088717899092,-1.3187741775033108,1.525112460837401
2023-01-05,-1.2131097024452704,-1.2131097024452704,-1.2131097024452704,-1.2131097024452704,-1.2131097024452702,-1.1393541460014076,-1.0963263742500264,-1.2131097024452704,-1.1922092379307867,-1.134684952671865,0.18569533739523514,-1.3342500003934294,-1.2609798691705867,1.2869691735004254
2023-01-06,-1.0975754450695303,-1.0975754450695303,-1.0975754450695303,-1.0975754450695303,-1.09757544506953,-1.0742481948013274,-1.0074350466081325,-1.0975754450695303,-1.1160521481947843,-1.07785991504988,0.18569533767377835,-1.2017866447774341,-1.1864477567939526,1.0898266276183763
2023-01-07,-0.9820411876937902,-0.9820411876937902,-0.9820411876937902,-0.9820411876937902,-0.9820411876937901,-1.009142243601247,-0.9185437189662385,-0.9820411876937902,-1.030919924705169,-1.0120661788689425,0.18569533785947331,-1.060565797030649,-1.0966546360476783,0.9255713534237098
2023-01-08,-0.8665069303180502,-0.8665069303180502,-0.8665069303180502,-0.8665069303180502,-0.86650693031805,-0.9440362924011664,-0.8296523913243445,-0.8665069303180502,-0.9381933572701904,-0.9379680921704521,0.18569533799211313,-0.9140930206657017,-0.9935307978119314,0.7868553973153875
2023-01-09,-0.7509726729423102,-0.7509726729423102,-0.7509726729423102,-0.7509726729423102,-0.7509726729423101,-0.8789303412010859,-0.7407610636824505,-0.7509726729423102,-0.8390408064968284,-0.8561807920297847,0.18569533809159242,-0.7651746908405433,-0.8792199693403642,0.6681002927617115
2023-01-10,-0.6354384155665701,-0.6354384155665701,-0.6354384155665701,-0.6354384155665701,-0.6354384155665701,-0.8138243900010055,-0.6518697360405566,-0.6354384155665701,-0.7344508852063715,-0.7672738498130286,0.18569533816896597,-0.6160374040858669,-0.755912775359242,0.5651873939518995
2023-01-11,-0.5199041581908301,-0.5199041581908301,-0.5199041581908301,-0.5199041581908301,-0.51990415819083,-0.6836124876008446,-0.5629784083986626,-0.5199041581908301,-0.6252601119399133,-0.6717746464147092,0.18569533823086404,-0.46842814009872397,-0.6257349033908999,0.4750603147515944
